116.3375,39.88056
116.33661,39.88107
116.33614,39.88126
116.33515,39.88152
116.33464,39.88158
116.33413,39.88159
116.33362,39.88155
116.33262,39.88135
116.33214,39.88118
116.33123,39.88071
116.33082,39.88041
116.33007,39.87972
116.32975,39.87932
116.32949,39.87894
116.32949,39.87894
116.32896,39.87784
116.32896,39.87784
116.32865,39.87634
116.32864,39.87583
116.32876,39.87482
116.32889,39.87432
116.32906,39.87384
116.32928,39.87338
116.32983,39.87252
116.33016,39.87213
116.33093,39.87145
116.33135,39.87117
